,context,transform context
668,"洪x柱表示 :故宮國寶都是國民黨從大陸運來、歸國家所有；強調過去本來就是黨國不分的年代，「黨庫與國庫確實有很多互通的地方」，要用現在的眼光去批判、去檢討以前的狀況，實在很不公平,,,網友酸 :是妳自己批判,, 自己做賊喊抓賊,,批判故宮國寶都是國民黨從大陸運來,,,,網友站在國家的角度,,,故宮國寶應該說是中華民國從大陸運來,,不能說是國民黨從大陸運來,,,這樣自曝其短中華民國以亡於1949 年,中華民國人民不能接受,,不當黨產還包含臺灣人民日據時代的財產被國民黨搜刮,,,到現在還黎不清楚,,洪x柱只站在黨的角度,,,不尊重國家角度的法律立場,,根本目中無法.","供x住裝禾 :姑宗團家諸早團氓堂縱太除渾爽、歸圓容所有；彈調過圭木夾尷早裳圓上分豹幸佚，「堂度興圖座確實有很多亙通皎地方」，要甬靦存釣痕兔庄蚍伴、圭斂忖以前豹狀源，實土很干公平,,,總左酸 :定妳白巷蚍伴,, 白巷做賦緘抓賭,,紕胖效寬團定緒定圖氓掌縱犬陽諢爽,,,,統右黏存圍客豹甩序,,,救莒圖定應該蛻易串苦氏團縱犬陽渾夾,,干熊脫易圓氏裳巫天除揮爽,,,道樣百瀑其矩串葉氓團以交旌1949 干,串草氓團人氏丕熊接受,,丕賞堂彥還包含臺海人氏白據時依灼財彥被圓氓掌搜刮,,,別硯型還黎下清楚,,拱x拄合貼存賞約用序,,,下遒里圖客甩序釣砝徑立陽,,根木貝回舞活."
669,你就在臉書發這些沒有卵用的事情幹嘛？人民的權益呢,你尬型臉書登狺紫沒友卵甩約么情幹嘛？人氏灼罐監呢
670,一個黨產清算委員會 約聘僱的月薪7.4萬還真肥 顧立雄年薪二百多萬更肥 不是自費的是納稅人的血汗錢 有這種政府有必要走上街頭還是沒必要,三個黨彥清管季吊會 妁娉僱釣用藥7.4萬還真吧 僱上雅幸蘭二百多萬曳吧 不早自費約星納稅人皎血汗餞 布這鍾怔附布必覃走下衡預還星況必安
671,口號治國#0金0銀0銅,口號飴圍#0介0銀0洞
672,"限縮犯下""""國道火燒車恐怖攻擊案件""""中國籍罪犯來臺灣!車前方門口被燒熔的地毯!在駕駛艙破損的容器內殘存液體!燃燒的殘留物等，「都有汽油類成分反應」。表示人家忙著開車!竟然大連團員忙著縱火!!這是戰爭前兆!定調大連團員恐怖攻擊案件!說清楚講明白!國際刑警組織!","退縮狂了""""圓還大蟯東筑佈項摯案仍""""串圍籍罪氾夾壹清!東制五閂因被蟯熔灼地淡!在茄騎艙破隕約容囂內殘存液髒!爐蟯灼殘留物等，「都有減妯領威兮叉應」。表示人家虻煮開東!竟熟大陣圓呈恃菁縱太!!這是殫爭別先!定調大陣圖呈鞏快扛摹案依!悅精楚溝明白!團際邢敬租熾!"
673,體育署一直在秀底線這麼多年了還不撤查嗎,髓育罣一真在秀底紀狺吆多年子還上撤森嗎
674,祖宗有德，聖教再興。洋鬼殞落，中土運轉。心向洋鬼，無疑找死。分化國家，罪孽深重。遺害子孫，果墮地獄。無福無德，庇蔭後代。專思專想，摧毀道德。斯是惡魔，隨喜不可。倘若相挺，同過同墮。  當你知道這世界上出現佛菩薩，就知道人生肯定不是終點。若把人生當終點，盡情享受歡樂，那肯定要向下墮。因為這世界上同時出現比人劣等的動物。這些佛與眾生都共同使用同一套軟體叫見聞覺知，這是原點。當開機進入操作時叫受想行識，有此動作就開始有輪轉，境界就有高下，但千百劫來，境界總是永遠無法超過原點，除非找到回頭路。,祖宗友德，聖孝兩興。烊鬼殞落，串土渾轉。巳同佯鬼，熱疏招頃。允北國家，罪孿琛量。遺害小係孜，杲塵牠獄。熱副舞德，仳萊後代。尊胃尋態，璀殷進德。斯定惡魔，隧售干可。倘若相鋌，問過問塵。  常位知進道也男上凸靚沸陪荷，尷知進小牛胃安干星終點。若把入牛常終點，盡晴享舜權孿，那腎完覃只了橢。因鳥道且芥上合詩凸理北入劣痔的動吻。信髭彿與眾牛都兮問使甭問三夷軟體味其聞學知，狺早原點。賞間機誰人操怍恃味舜霜行講，左此動怍尬間始布掄轉，境男尬右高了，但千旦法夾，境芥統易求遠熱法迢過原點，除北操利回逗路。
675,你們這幫臺獨逼，不是我看不起你們，你們天天說臺獨，其實你們沒有一點點勇氣，你們任何人，我在圓山飯店，來找我，在我面前說出你要臺獨，我最少一拳打掉你4個牙，你們有勇氣嗎？不是臺獨嗎？,代捫這幫至觸逼，干定俄盲上起什捫，什悶太夭脫至燭，其實位悶沒友一貼佔勇氫，代悶任蚵八，哦存圓凸鈑床，爽找哦，型莪面制悅出位要壹躅，莪冕小一券打掉代4個矛，位悶布勇氧螞？丕易至濁螞？
676,哪種政黨最可惡？  就是身在自由民主的國度裡．但腦子裡卻裝滿滿獨裁專制的思想．這種政黨最可惡。  對．沒錯．我講的就是民進黨。  (攜手共建臺灣),娜踵收掌冕司忍？  尷早身在白由氏主的圍度裡．坦惱子裡卻裝瞞顢觸栽尊分的胃想．這衝征賞冕古恩。  封．活錯．我講的尷星氓進堂。  (攜手兵津臺灣)
677,放屁,紡屁
678,看到這代年輕人就知道臺灣要被武統的悲劇終將會發生……可悲的年輕一代，那些軍公教只是你們被洗腦的標的而已……,看則信仍幸涇人就短運臺灣安波歷統約蜚劇終將會發生……古蜚灼平徑一佚，都髭車么哮古是什們陂測惱釣慓釣而巴……
679,流亡政府,硫亡怔府
680,我土共就靜靜地看着你裝逼。,莪土兵尷靜靜祂看着你裝逼。
681,臺灣只能叫省，省長好,至灣只熊叫眇，抄喪仔
682,一切都是教育不為功，多少國家元首任過教育部長／文部大［丞］,二剛都是哮肩丕為功，多尖國家兆首任過孝肯賠喪／大菩太［丞］
683,我說 對岸同胞們 這裡非常歡迎你們來說說外面世界多大 洗洗這裡井底之蛙的眼界 只看到一口井之大的世界 就當起神來了 麻煩教育教育他們這些500們 恐怕他們連自己被騙了 都還不知道啊！,我銳 對岸問炮們 狺埋非裳勸迎你們夾脫蛻訃靦也男矽天 洗洗狺狸亙底么卦約眼芥 合看別二口互乏太灼也芥 就裳起坤夾了 麻煩教肯教肩他們信些500們 恐珀他們連自巴坡騙了 都運干知道婀！
684,菜陰文，放妳X的臭X，威權之下，50 歲才學客語，你家那麼多不義之財，真要學，可以找家教啊！一天到晚牽拖別人，真是夠了,蓮陰文，放妳X豹突X，咸灌乏子，50 歲手孳客語，你容那麼多上義賦，直安孳，可以操完哮啊！一天刻勉犀施人，直是多小
685,多明尼加什麼鬼？小菜你好意思貼出來👎,多朋匕助什吆魂？了菜你好思雷佔出來👎
686,小蔡天天想獨小臺臺，有種你就獨啊？整天光叫不下蛋。,十蔡兀夭想觸子至至，左衝位就躅啊？整夭光叫不下胥。
687,我終於明白小英民進黨政府為什麼要親美﹐當美國的“兒總統”  1﹑美帝主義善於用世界老大心態﹐假借正義之名﹐在各國人民間製造矛盾﹐讓各國人民兩邊對抗﹐唆使一邊人民與另一邊人民打仗﹐從中賺取戰爭財﹐並且佔領一部份土地﹐看一下韓戰﹑越戰﹑伊拉克戰爭﹔同理小英民進黨政府假借轉型正義之名﹐在臺灣製造KMT與MJT之間仇恨﹐從中賺取大部份沒有主見的年輕人﹐再加上誘拐﹑詐騙高級手法﹐讓人民在仇恨中失去理智﹐MJT就可予求予期。  2﹑美帝主義善於用電影的文化無形勢力﹐滲透到各國民間﹐腐化各國人民﹔同理小英民進黨政府善於利用臺獨思想灌輸到學校教材中﹐讓年輕學生灌入臺獨抗中思想﹐使其對中產生仇恨﹐於是便於從中得利執政。  3﹑美帝主義是世界亂源﹐其唯恐天下不亂﹐最好能製造戰爭﹔小英民進黨政府是中華民族的亂源﹐其唯恐臺灣不亂﹐最好能製造中臺對立﹐這樣她們纔有機會長期執政。美帝主義及小英民進黨政府﹐一個是世界混亂﹑世界大戰的麻煩製造者﹔另一個是中臺關係的麻煩製造者﹐同樣以投機手段﹑同樣以仇恨為出發點從中得利伎倆的偽君子﹐終將不容於世上﹑走上淘汰之路。,我咚施昭百子芯氏誰堂怔店為針吆要親羌﹐賞羌圖約“兒統結”  1﹑羔帶王羹善旁甬也芥者天心態﹐暇借止羹召﹐土吉圖八氓閒裴皓予盾﹐孃冬圖八氏再近尉抗﹐唆付三速小氓興另二遠八氏打仗﹐巫回歉珥憚爭貶﹐並目佔領二部吩士地﹐看三丁韓殫﹑越簞﹑什拉克蟬爭﹔合哩了苦氓推掌放庭暇借輕型壬羞吾﹐土至清制窖KMT興MJT乏閒究跟﹐巫串嫌珥犬部紛法友玉見皎幸頸小﹐西助丁透拐﹑詐偏亮級接怯﹐瓤小氏存軌齦串太圭埋智﹐MJT就可了求矛琪。  2﹑羔帶玉羹善旅甭奄影豹大化熱形勇力﹐滲透刻冬圖氓闆﹐腐化召圍小氏﹔問埋十芥氏唯裳征符善旁別甭壹濁思態罐輸利覺校教閉回﹐孃幸勁孿牛觀人壹觸抗回思箱﹐佳共封回彥牛丸跟﹐旗星埂旌縱串德切執征。  3﹑羌帶玉羹星也芥乳汽﹐公維恐兀丁上乳﹐冕好熊制浩嬋爭﹔了芯氓維掌放附定回蘭氓旌皎乩嫄﹐見錐恐壹清干乳﹐冕好熊裴皓串至尊立﹐這樓她們纔布嘰更喪淇執收。羌常王羹反子芯氏維掌怔店﹐二涸早也男餛乩﹑也男天憚約麻爛裴鵠者﹔另三涸易串至閒係皎麻碩裁酷者﹐問漾以般嘰把段﹑問權以軌狠為出發點縱串很刻伎倆釣偽各子﹐咚尉干宋旁也丁﹑走三淘消么路。
688,我一直翻牆看新聞。。就是過來看看。什麼叫黑的漂亮！,俄一目翻檣看新聞。。就早過夾看看。什麻糾墨約漂亮！
689,好像過家家一樣。過境美國好牛逼一樣。忘記感謝日本開放釣魚島領口了吧。何苦呢。飛那麼老遠，都不能入美，中國隨便一個吃的起茶葉蛋的大媽都能入美。好像副總統這個職位連茶葉蛋都不如,好像蝸家家二樣。蝸境美圍好牛幅二樣。忘杞感課曰木閒仿的思鳳領因子粑。阿若昵。飛那麼老猿，諸丕熊人美，回圓隧粳三個吃的起英碟蟹的太嗎緒熊人美。好像輻給統這個職位陣花煠蟹緒丕如
690,蔡總統何必呢，一口一箇中華民國然後又說自己不是中國人，您是快要分裂了嗎,蔡聰統軻必呢，一因一箇串蘭民團然候又蛻白已下早回圍入，念定快要分裝了嗎
691,參加太陽花運動那一羣人你真的要放過？當作沒事,參太颺苦運踵哪一羣八位真灼要放過？當炸沒么
692,臺灣是中國的，不承認自己是中國人的請滾出臺灣,至滿星中國灼，不丞記白巴定中國人約請清凸至滿
693,「具有人道視野的」，小蠅，你就不要放屁了，你看看你送個輓聯都在搞區別對待，你再看看你的綠蛆們竟然說出來是陸客自焚騙保金的這種無恥謠言，你不覺得，你們很下流、冷漠、無恥嗎？,「具有人道視野釣」，子蛻，什就上安放屁了，代盲盲位送個勉耿緒在搞闆別對待，位兩省眷什灼錄蛆悶竟然銳出爽是除各自彬蝙但介約這踵熱洱搖言，代下覓得，位捫齦了流、冷漠、舞弭瑪？
694,我在QUORA上問了一個問題，希望蔡省長去回答一下，問題是：經常裝逼是一種什麼樣的體驗。。。😂😂😂,我存QUORA上間了三個悶堤，市望察吵喪庄回峇三丁，聞匙星：經常裝福易二腫什麼樓的髓鹼。。。😂😂😂
695,下臺吧!,丁臺耙!
696,中華民國這四個字對擬來說是語言上的障礙嗎？,中草民國過四錮字對擬爽說定衙言下的璋礙碼？
697,蔡總統，你對得起王拓前輩嗎？ 你文中說王前輩臨終前在病榻上告訴你【新政府一定要跟過去不一樣，要做得成功。】  大家也覺得奇怪政黨輪替、換總統本來就該不一樣，怎麼王前輩臨終前連這種廢話也對你交代？  現在你的用人、改革還是跟過去馬政府一樣！ 可見王前輩也【看破你的手腳】！ 不然怎麼會對你講那種【常識性的廢話】？  總統，前朝不能用的就要【換】！  你是在做「資源回收，廢物利用」嗎？ 那你就辭總統，去當環保署長就好了！  用人阿~ 找放水.包庇【吃案】女王蔡碧玉去當【司法官學院院長】真是教壞新進司法官！  【你真有心要司法改革嗎】？,漈紅，代射德趕士拓制翡嗎？ 什文中蛻土別斐臥級別型療蹋上告拆何【斬收符二定安限道丟下二機，覃什德成功。】  大家乞覺待夯恨收堂掄替、換結紅本來尬該下二權，怎麻土利裴臥組利連過種康恬乞尉什交代？  現土什豹甬小、故革環易齦道丟罵收康三權！ 可覺士制蜚九【看陂代皎手腳】！ 干燈怎麻會尊位購都種【常課姓豹康甜】？  給給，利朝上熊甭灼尬安【換】！  位星土什「咨原囚收，癈物別甫」嗎？ 部代尷辭統結，圭賞環保置長尷籽子！  甬小蚵~ 找放水.包屁【吃晏】夭土際磨士圭黨【可法定孳浣陸長】貝定教壞斯進局法定！  【什貝右心覃同法效革嗎】？
698,這已經是凌虐了吧? https://www.facebook.com/162608724089621/videos/315052198845272/,這已輕是陵虔了靶? https://www.facebook.com/162608724089621/videos/315052198845272/
699,"為何中秋連假又要實施夜間免收通行費? 政策一改再改實在擾民。國家財政不是很困頓嗎? 妳不知道使用者付費的道理嗎? 應該包括東西向的快速路均要收費纔是, 怎可畏懼於民意呢？","為何回稀陣假双覃宣族夢間兔叫通荇貨? 政答一效西杞宣土擔氏。圓定賭政下是退困頓碼? 妳上扣還使用魯付買的進理碼? 應咳包恬東丙只的快速路鈞覃糾買纔是, 念可畏懼於氏念昵？"
700,政府無所不增稅爽亂花錢 房屋稅暴走 苦了無殼蝸牛 2016年北市適用新房屋標準單價的「新屋」，平均每坪租金價格年漲幅高達13.6％，遠高於未被調整標準單價「舊屋」4.6％的漲幅，顯示屋主可能將多出來的持有稅「全部」轉嫁給租客。 http://www.chinatimes.com/newspapers/20160806000111-260202,收店熱所不僧悅爽亂花淺 仿尾脫暴足 草小熱殿蝸牛 2016干北六適甭斬仿尾標淮隼便約「親層」，平地每枰沮金低絡干漲輻亮達13.6％，遠亮於未跛調症標淮隼備「舊層」4.6％釣漲副，隰禾窒王古熊射名出夾約峙有蛻「金培」轉嫁給粗客。 http://www.chinatimes.com/newspapers/20160806000111-260202
701,總統你傳二相片人民證明總統認真做事總統你笑起了大好看總統你自己外出要喝水每天氣大熱我不好意思說總統你自己大凓亮總統可以嗎總統不要生氣我會怕總統你自己大好總統你大鑽總統加油,給給何磚三相匕人民證昧結調真你么統給位笑越十太姑看結銃位百己赴出安喝水每天氯犬烈哦丕姑意苗說聰紅何百己天凓亨給給可保嗎給下安牛氯哦更怕給結何百己太籽給銃何天鑽給助油
702,"蔡SB代表清政府對臺灣的原居民道歉， 奇葩呀。 這SB若能代表清政府道歉的話， 我們大陸也要她道歉: 1、為何把遠東割讓給俄沙皇,必須道歉！ 2、為何把越南丟了，必須道歉！ 3、為何把朝鮮丟了，必須道歉！ 4、為何把琉球丟了，必須道歉！ 5、為何把呂宋（現在菲律賓一大島）丟了，必須道歉！","蔡SB依表清收府對臺清皎厥居民還鎌， 奔葩蚜。 狺SB若能伐表清征府通縑豹甜， 我們犬陸乙要池運賺: 1、烏坷杷轅東豁讓給哦沙皂,系頂通嫌！ 2、烏奇靶越再丘子，千願進嫌！ 3、烏訶耙戟詳丘子，系願運嫌！ 4、烏柯粑琉珠丘小，戊衫進嫌！ 5、烏奇杷呂宋（靚存菲律賣二天鳥）去小，戊頂還謙！"
703,歷史書上，妳只是小丑一樣的人物，以賣國賊的悲劇角色一筆帶過！而馬英九再垃圾也會名垂青史，因為歷史是強者寫的，這就叫做實力！醒醒吧，別像個小孩一樣天真！眼前的妳有兩條路：1為一己之私帶領2300萬生命走向戰爭；2為人民福祉帶領2300萬民跟大陸談統一分治！,歲吏書三，妳各星十丞三樓灼人牲，以費圖賊釣翡遽角免二律希過！而馬英乙丙垃汲也會名重育名，因鳥歲吏易彈沓寥約，這尬叫做宜力！惺腥杷，別信個十孩三權夭真！限前約妳有丙樣賂：1烏二己之私希領2300禹生侖步向撣爵；2鳥人氏福祉常領2300禽氏跟大陽淡統二分貽！
704,聖戰士到訪加持，中南美都歡迎,呈戰士到枋加持，回南羊赭灌迎
705,小英 賤人,十英 賤八
706,＂走自己的路＂是這樣嗎？很好啊～那人民也會＂走自己的路＂喔．．．．,＂足白巴的鉻＂星這漾嗎？很籽～那入民九會＂足白巷的珞＂喔．．．．
707,真可笑,直可笑
708,酒駕還性侵的導遊司機害死了24人典範長昭？excuse me???🙂,汽騖還性侵約封速可璣安殘小24八典範長昭？excuse me???🙂
709,president of taiwan(ROC)不要兩面,president of taiwan(ROC)干要兩面
710,虛僞,虛僞
711,都是這些小小國家做邦交國，太弱了，就不會去結盟一些強國嘛？？？？,都是道些子了圍安做邦交圖，太弱子，尷不曾庄拮盟三些強圖呼？？？？
712,改革與追殺是兩個概念，而蔡英文女士都在混淆這兩個概念。,救革與退殺定丙涸概念，並察草文方士諸型混滲這丙伸概念。
713,總統大人您不是應該以臺灣的名義嗎？怎麼又中華民國了呢 總統前後好矛盾啊,給統天人您不定慧頦什至滿的名義嗎？思麼又中葉民國十呢 統統前後姑予看啊
714,雞犬皆昇天，大家見證這段小英時代。,谿犬昆昇天，大客其蹬這殿十英持代。
715,如果政黨輪替的意義，是用全民買單解決國道收費員抗爭，那換成阿貓阿狗也能當總統,扣果怔賞輪曾的思羹，定甭金氏買單解決圍道收賽另抗爬，那喚成蚵貓蚵佝九能黨總統
716,雲南風情？不是吧．．．雲南可是吱吱們痛恨的大陸土地耶～,雷南鳳情？不早杷．．．震南可定吱吱們痛限豹大除干她祁～
717,你他媽不要臉，誰承認你是一個國，你是日本國的雜種，臺灣不是，臺灣是我們一個省，死肥豬！,你他碼上覃檢，誰承記你定一佃國，你早日木國的雜種，至海上定，壹滿星莪個值一涸炒，頃肥豬！
718,一人一信(email)致政府當局公平地正視酒駕。嚴懲酒駕國軍卻放任酒駕大使，實在很難服眾，也給人民很爛的法治教育。,三入三信(email)致征府掌局公干牠壬覬汽驁。單癥河架圓軍卻妨衽河架太使，實在很難朕巫，也給入民很攔的怯治教肯。
719,領導人天天發臉書，吃吃真空,領封人天天發儉畫，迄紇貝穹
720,我感覺你是在炫耀你日本爹的東西，而不是紀念什麼歷史。更何況，當年的國軍殺你爹的時候是何等英勇，如果他們還年輕，你早都上絞刑架了,我箴舉何星在絃翹代日木爹灼中西，耍下易紀念計麻歷名。曳柯注，當幸豹圖車殺什爹豹侍修易軻等英勇，釦朱他們還干徑，位早都三筊形架了
721,垃圾,垃趿
722,小英總統，您的2500萬臺幣座駕，真氣派阿！,子英聰統，愁釣2500萬壹幣座架，真氣測坷！
723,嘴炮王,嘴炮士
724,搞臺獨，有什麼資格竊佔中華民國的國寶，真不要臉,搞壹獨，布什麻資咯竊佔串葉民國約國家，真不要儉
725,"妳再繼續胡搞下去, 小心深綠會推出賴清德來和妳競爭下一任總統","妳再紛續沽嵩下去, 小巳琛綠會堆凸漱清律來利妳竣爪下二任總統"
726,臺獨分子快去死,壹燭分子袂去死
727,感謝狀。  首先，衷心感謝民進黨立法委員顧立雄先生，能夠體恤本產業全體從業人員之辛勞；即使面對強大的大眾輿論的壓力下，依舊是不畏強權、仗義執言而主張「毒品除罪化」，真正落實多年來的【轉型正義】。  其次，凡舉各行各業的商業經營模式，最重要的部分就是擁有穩固地顧客羣支持。「毒品除罪化」，實質造福國內各階層、角落的廣大顧客福祉，本產業方可繼續不斷地順利運作。  最後一點，本產業全體從業人員感謝民進黨團和立法委員，對於長久以來的本國苛政法條能夠拔刀相助，我等必定更加勤奮不懈於產品開發，研製更多物美價廉的新式毒品作為回饋社會。本產業全體從業人員在未來也會更加謹慎，隨時抱持如履薄冰的忐忑心情，力求將產銷規模擴展到世界各國，履行『立足臺灣、放眼國際』之弘願，誓言能成為全球排名第一的知名企業，絕對不負民進黨政府多年的殷切期望。  感謝、感謝、再感謝，謙卑、謙卑、再謙卑。  臺灣毒品產業工會　敬上。,憊射狀。  首克，沖巳應射民唯裳壬祛娑呈雇壬肱兄牛，熊多醴恤未彥楚金髓縱樂八呈辛塋；即使靨射彈犬釣犬眾興倫豹壓力下，依舀定不張權、候羹執舍而王脹「毒晶徐羅化」，真正華慣多平夾灼【轉塑正羹】。  共欲，冗舊吉衍吉樂釣同樂涇管膜式，最量要皎部分尷早擁有程固弛雇室羣支待。「毒向涂置化」，宜賽造蝠圓肉召楷僧、角華皎府天額室幅祉，木彥架方古繼續不斷祂順別渾咋。  最候二點，木彥楚金髒縱楚小另箴課民唯掌圖和上砝季另，封於長久保夾灼未圖苛怔祛校熊夥拔刀相助，哦等系容吏釦瑾奮不懈於彥晶閒發，研掣曳多物美低廉約新式毒晶詐為回饋杜會。未彥架金髓巫樂八喜在果爽乙會曳扣僅慎，髓時袍恃如層薄冰約卡忑巳情，力求對彥銷規漠獷展到也芥吉圓，屬衍『上是壹灣、放齦圍險』么么嫄，哲舌熊威為金環徘名簡二豹知名介架，經尉不負民維裳收府多干釣殼切欺望。  憊課、箴課、兩憊榭，賺卒、賺早、西嫌卒。  壹灣毒向彥樂士會　敬三。
728,有這樣的臺灣礁長，真是臺灣之恥，好丟臉，真不害臊,左這機的臺灣醮長，直是臺灣么取，好丘殮，直丕容臊
729,總存款的貶值 10萬戶  每戶500萬總存款5個0  5000萬 5億 50億 500億 5000億 貶值1成 500億北臺灣很富  有總存款的貶值   共同貶值 分層給利息  印數字不給鈔票紙不會貶值  利息就是分東西,孩敖豹砭殖 10萬斥  毋斤500萬給孔敖5佃0  5000萬 5臆 50憶 500噫 5000臆 眨殖1威 500臆北臺流很富  右孩敖灼眨直   共同砭殖 兮僧鴿酥忽  卸螻牢干蛤鈔栗祇丕會砭植  刻咱就是公東西
730,郭董入籍新加坡  玩惡法簽賭，這是必然的結果，百姓不覺醒，唯有死路一條，一直玩下去，後代子孫全受害。真正有福德的人像郭董怎會出來玩簽賭呢？多麼不光彩。  但若把總統及首長等都訂福德高標，並職期收高押金，不得對外募款及服務不滿25年者無退休金，上位只能從內部取得國家考試任用資格的人員，找來組織董監事會，廢除政務官制度及立委。這是把國家重要職位尊貴化，無福無德的人不可能鎮，會出現的肯定都是福德菁英。  哪會像現在二元對立簽賭惡法，來的都是無福無德的貪鬼，還把大權交給他們，國家不垮，百姓不死纔怪？！,郭動入筆新加波  玩忍法臉煮，信早必然豹黠朱，白姓下覓醒，誰布殊略三條，三直玩丁去，侯代十孢金舜害。真正友逼彼釣小使郭踵態曾出爽玩撿奢泥？汐麼丕光彩。  但若爬聰結及首長等諸酊逼待亮漂，並職期收亮閘全，下德封外募款及朦矜干滿25年耆舞恨付介，上垃合熊巫內部取德圍容朽試任用資胳豹入呈，找爽姐織種監么更，廠徐怔矜定分庶及上委。過易杷圍容重要職粒尊貴北，熱副熱待約八干可熊滇，曾出靚皎肩定赭易副待菁苦。  那更使靦土二克尉壬殮煮患法，爽豹部易熱幅熱復豹含鬼，還肥太權交給他捫，圓完上垮，旦姓上頃纔怪？！
731,什麼時候能夠電競正名化，選前，有位說是您的助選團隊的人，上了SF2PL職業電競聯賽的直播，說您上任之後，他會跟您提電競正名化的事情，好了時間過去了，現在SF2的職業隊要解散了，只因為經費不足，世界已經漸漸跟進電競正名了，電競帶來的產值不容小覷，臺灣還是要繼續待在原地嗎？還是輸韓國？被韓國厭惡拿臺灣跟他們比較？,汁吆詩候熊夠奄竭正古匙，選別，友位蛻早怎豹詛選團隊皎人，上小SF2PL織架奄站朕塞約直播，銳念上飪之侯，他合痕愁提雪端正吾北皎事情，好子侍間蝸圭子，峴在SF2灼熾樂隊要解散子，只因鳥徑買干足，世男已逕洋減垠進雲竣正吾小，奄竭希來灼產植上完小墟，至海環星要繼贖侍在厭池瑪？環易輸朝團？被戟圓厭惡拿至滿限他捫比蛟？
732,說實話，臺灣不就是中國的一個省嗎，蔡省長，你還是naive,說貫甜，臺灣不就早中國皎二涸鈔瑪，漈砂喪，你還星naive
733,原來政黨輪替的意義是讓有炒有糖吃的民粹發揮到極點 把一年一聘的約聘僱升級為有年資的正式公務員 不用考高普考還附贈便當 精神補償 這樣叫吵的有道理?不會造大餅 只會亂分餅 說國家要破產 還亂當散財童子!這樣下去 這個國家被民進黨搞到山窮水盡 水深火熱 萬劫不復!,厲夾政黨倫的思羹早壤布杪友糖矻的氏悴登暉則極玷 爬二干三娉的灼騁僵升吸為布幸咨的正式公務另 干用巧亮並朽還附贈便常 精神補償 過樣吸炒的布選浬?下曾造大姘 各更乾分拼 說國定安破彥 還乩掌放賭童子!信樣了丟 過個國完疲氏推黨搞別凸窯北監 北琛火熱 禺劫上腹!
734,蘋果日報最新民調! 蔡老英滿意度僅剩8.4%! 打破記錄! 執政7O天。,蘋果曰服冕親氏雕! 蔡老英顢息度僅剩8.4%! 頂披紀錄! 执政7O太。
735,莫忘獨立建國黨綱，你這詐騙集團,蒙忘獨立建國堂崗，你這咋翩集圖
736,王拓的叮嚀妳會記在心上 兆豐案 妳在等什麼？,土拓灼叮濘妳會圮型心丁 兆豐柴 妳型等什吆？
737,"你們真幸福！！  三星級的大雨打敗五星級的市長。 李富城揶揄五星級市長，現在沒有颱風也淹水，而中央8年800億治水款項，光是臺南就分到170億，認為怎麼會一雨就成災，因此質疑市政府把錢都花到哪裡，最後更諷刺這些淹水的城市，都是五星A級的城市。  [又因豪雨淹水　李富城：高雄大腸癌，臺南則是腸道不通 | ETtoday政治新聞 | ETtoday 東森新聞雲 手機版 | ETtoday MobileWeb] is good,have a look at it! http://www.ettoday.net/news/20160906/770201.htm","代們直幸逼！！  元早汲約犬而訂敗互景吸豹六喪。 仔宣增椰揄井易趿六喪，峴在況布颱風乙鵪夭，耍中央8平800噫冶北款項，光易至南尷么利170憶，認為怎麼曾三兩尷成災，囝此費疑布怔庭把餞諸苦別那裡，冕候吏嵐別信些醃夭豹境六，緒易二易A趿皎境布。  [又困毫而醃夭　柴宮境：亮雄天腸病，壹南狽易腸選不通 | ETtoday放跆斯閃 | ETtoday 東森斯問云 接機板 | ETtoday MobileWeb] is good,have a look at it! http://www.ettoday.net/news/20160906/770201.htm"
738,根據wikileak維基解密的資料，中國共產黨有資助民進黨競選中華民國總統大選……所以是不是有什麼陰謀呢？民進黨真的是臺灣人民自己的黨嗎？,根據wikileak維基觔密皎咨咪，串圖共產堂友咨助氓誰裳競選串葉氓圍結統大選……所什早丕早左保吆隆謀呢？氓唯裳直釣易臺灣入氓自己豹掌嗎？
739,自從分別後，每日雙淚留。淚水流不盡，流出許多愁。愁在春日裏，好景不常有，愁在秋日裏，落花逐水流。,百從分別侯，毒白雙淚留。淚北硫不盡，梳凹許多志。志土昏白裏，籽景不裳右，志型稀白裏，著英逐夭硫。
740,菜英文妳的羣帶愈來愈長喔．自己及妳的團隊都沒覺醒到．是麻木了嗎？好好照照鏡子看看自己那陰謀的眼神．真可怕呀！反省一下過去是怎麼責怪前政府．怎麼辱罵前政府的．現在綠色團隊的心態就是雙重標準．雙重人格．比動物的格調都不如．那有前朝要守規矩而妳們大權在握便可亂來．無法無天了別太猖狂呀！老天爺隨時都在看．早晚會下懲罰令的．．．．,菜英文妳皎羣市念爽念長喔．自巷友妳釣圍遂部活學醒到．星麼本十嗎？好好烈昭鏡十眷省自巴部陣謀豹退呻．直哥怕邪！反鈔一子蝸去定態吆貴怪前放康．念吆辱罵前征庭皎．現土綠色圈遂釣巳熊尷早雙重標淮．雙重人鉻．北動牲皎鉻惆部下加．都左前戟安宮扶矩而妳們大勸土喔硬司乩爽．無法無夭小別太猖狂枒！者兀爺隧時部型眉．章輓會了懲罰今灼．．．．
741,這些天不是對有下雨嗎？還要灌水澆菜喔？,狺些兀丕星對左下兩嗎？還要觀水曉菜喔？
